Fecha,Hora,Categoría,Ubicación,Género,Código Cliente,Cliente Recurrente,Proveedor,Nombre del producto,Marca,Precio unitario,Cantidad_vendida,Ingresos,CompraAlta,Categoría_num,Ubicación_num,Género_num
2020-01-01,00:00:00,Zapatos,Tienda C,No especificado,1091,0,Proveedor A,Botas de Invierno,Timberland,80,1,80,0,4,3,2
2020-01-01,10:57:31.462865,Camisetas,Tienda C,No especificado,1081,0,Proveedor B,Camiseta Casual,Uniqlo,25,1,25,0,2,3,2
2020-01-01,21:55:02.925731,Zapatos,Tienda A,Femenino,1065,0,Proveedor D,Zapatos Formales,Allen Edmonds,70,1,70,0,4,1,0
2020-01-02,08:52:34.388597,Accesorios,Tienda A,Femenino,1060,0,Proveedor B,Gorra,New Era,10,1,10,0,1,1,0
2020-01-02,19:50:05.851462,Zapatos,Tienda B,No especificado,1087,0,Proveedor B,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,2,2
2020-01-03,06:47:37.314328,Pantalones,Tienda A,No especificado,1082,0,Proveedor D,Pantalón Chino,Dockers,35,1,35,0,3,1,2
2020-01-03,17:45:08.777194,Accesorios,Online,No especificado,1001,0,Proveedor A,Cinturón,Grant,15,1,15,0,1,0,2
2020-01-04,04:42:40.240060,Camisetas,Tienda A,No especificado,1044,0,Proveedor A,Camiseta Deportiva,Nike,20,1,20,0,2,1,2
2020-01-04,15:40:11.702925,Zapatos,Tienda A,Femenino,1001,1,Proveedor D,Zapatillas Deportivas,Ultraboost,50,1,50,0,4,1,0
2020-01-05,02:37:43.165791,Abrigos,Tienda B,Femenino,1028,0,Proveedor B,Abrigo Largo,Canada Goose,100,1,100,0,0,2,0
2020-01-05,13:35:14.628657,Pantalones,Online,Femenino,1003,0,Proveedor D,Pantalón Chino,Dockers,35,1,35,0,3,0,0
2020-01-06,00:32:46.091522,Accesorios,Tienda A,Masculino,1021,0,Proveedor B,Cinturón,Grant,15,1,15,0,1,1,1
2020-01-06,11:30:17.554388,Abrigos,Tienda A,Masculino,1006,0,Proveedor D,Abrigo Largo,Canada Goose,100,1,100,0,0,1,1
2020-01-06,22:27:49.017254,Pantalones,Tienda B,Masculino,1010,0,Proveedor A,Pantalón Deportivo,Adidas,30,1,30,0,3,2,1
2020-01-07,09:25:20.480120,Abrigos,Tienda C,Femenino,1015,0,Proveedor B,Chaqueta Ligera,Ascender,45,1,45,0,0,3,0
2020-01-07,20:22:51.942985,Zapatos,Tienda C,Femenino,1047,0,Proveedor B,Zapatos Formales,Park Avenue,70,1,70,0,4,3,0
2020-01-08,07:20:23.405851,Accesorios,Tienda C,Femenino,1099,0,Proveedor A,Gorra,New Era,10,1,10,0,1,3,0
2020-01-08,18:17:54.868717,Pantalones,Tienda C,Masculino,1067,0,Proveedor C,Pantalón Chino,Dockers,35,1,35,0,3,3,1
2020-01-09,05:15:26.331582,Pantalones,Tienda B,No especificado,1079,0,Proveedor B,Jeans Slim,Slim Fit,40,1,40,0,3,2,2
2020-01-09,16:12:57.794448,Abrigos,Tienda A,No especificado,1092,0,Proveedor A,Chaqueta Ligera,Ascender,45,1,45,0,0,1,2
2020-01-10,03:10:29.257314,Accesorios,Tienda B,Femenino,1009,0,Proveedor A,Bufanda,Check,12,1,12,0,1,2,0
2020-01-10,14:08:00.720180,Abrigos,Online,Masculino,1066,0,Proveedor C,Sudadera con Capucha,Champion,35,1,35,0,0,0,1
2020-01-11,01:05:32.183045,Abrigos,Tienda C,Femenino,1046,0,Proveedor C,Chaqueta Ligera,Ascender,45,1,45,0,0,3,0
2020-01-11,12:03:03.645911,Abrigos,Tienda C,Masculino,1014,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,3,1
2020-01-11,23:00:35.108777,Accesorios,Tienda A,No especificado,1023,0,Proveedor C,Cinturón,Grant,15,1,15,0,1,1,2
2020-01-12,09:58:06.571642,Abrigos,Tienda A,Masculino,1052,0,Proveedor B,Chaqueta Ligera,Ascender,45,1,45,0,0,1,1
2020-01-12,20:55:38.034508,Abrigos,Online,Femenino,1057,0,Proveedor D,Chaqueta Ligera,Ascender,45,1,45,0,0,0,0
2020-01-13,07:53:09.497374,Accesorios,Tienda B,Femenino,1086,0,Proveedor D,Bufanda,Check,12,1,12,0,1,2,0
2020-01-13,18:50:40.960240,Camisetas,Online,Femenino,1095,0,Proveedor C,Camiseta Deportiva,Dri-FIT,20,1,20,0,2,0,0
